TickerSymbol,CompanyName,PEratio,EPS,market_cap
A,"Agilent Technologies, Inc.",61.54,2.60,48694000000
AAC,Ares Acquisition Corporation,59.82,0.16,1226000000
AAMC,Altisource Asset Management Corporation,1.00,24.38,50102000
AAME,Atlantic American Corporation,7.90,0.5580,90031000
AAN,"The Aaron's Company, Inc.",9.56,2.76,948267000
AAON,"AAON, Inc.",55.55,1.38,4020000000
AAP,"Advance Auto Parts, Inc.",24.96,9.31,15207000000
AAPL,Apple Inc.,33.90,4.45,2.517E+12
AAT,"American Assets Trust, Inc.",140.96,0.28,2395000000
AAWW,"Atlas Air Worldwide Holdings, Inc.",5.44,15.49,2443000000
AB,AllianceBernstein Holding L.P.,18.47,3.06,5687000000
ABB,ABB Ltd,13.82,2.53,70556000000
ABBV,AbbVie Inc.,39.69,2.91,2.04193E+11
ABCB,Ameris Bancorp,10.39,5.28,3828000000
ABEV,Ambev S.A.,19.51,0.1640,50358000000
ABG,"Asbury Automotive Group, Inc.",10.79,16.95,3538000000
ABM,ABM Industries Incorporated,15.02,3.17,3199000000
ABMD,"Abiomed, Inc.",75.17,4.94,17108000000
ABR,"Arbor Realty Trust, Inc.",8.02,2.46,2813000000
ABT,Abbott Laboratories,39.62,3.19,2.24643E+11
ABTX,"Allegiance Bancshares, Inc.",14.55,2.94,863832000
AC,"Associated Capital Group, Inc.",7.78,4.96,852986000
ACA,"Arcosa, Inc.",30.10,1.85,2682000000
ACBI,"Atlantic Capital Bancshares, Inc.",18.45,1.60,599021000
ACC,"American Campus Communities, Inc.","1,386.15",0.04,7453000000
ACCO,ACCO Brands Corporation,25.92,0.35,878526000
ACGL,Arch Capital Group Ltd.,10.36,4.06,16960000000
ACGLO,Arch Capital Group Ltd.,6.42,4.06,15184000000
ACH,Aluminum Corporation of China Limited,44.27,0.30,12084000000
ACIW,"ACI Worldwide, Inc.",42.09,0.80,3998000000
ACLS,"Axcelis Technologies, Inc.",38.57,1.61,2088000000
ACMR,"ACM Research, Inc.",100.60,1.06,2022000000
ACN,Accenture plc,43.49,8.45,2.33581E+11
ACNB,ACNB Corporation,9.02,3.12,244892000
ACRE,Ares Commercial Real Estate Corporation,9.84,1.62,746847000
ACST,Acasti Pharma Inc.,62.59,0.0270,332974000
ACU,Acme United Corporation,14.92,2.46,127898000
ADBE,Adobe Inc.,57.89,11.54,3.19266E+11
ADC,Agree Realty Corporation,40.10,1.74,4435000000
ADI,"Analog Devices, Inc.",44.15,4.19,68233000000
ADM,Archer-Daniels-Midland Company,17.50,3.68,35997000000
ADP,"Automatic Data Processing, Inc.",39.83,5.76,97529000000
ADS,Alliance Data Systems Corporation,7.82,9.70,3769000000
ADSK,"Autodesk, Inc.",56.44,5.84,72472000000
ADTN,"ADTRAN, Inc.",76.04,0.28,1012000000
ADUS,Addus HomeCare Corporation,50.39,2.09,1675000000
ADX,"Adams Diversified Equity Fund, Inc.",6.87,3.15,2404000000
AE,"Adams Resources & Energy, Inc.",8.31,3.57,126085000
AEE,Ameren Corporation,21.75,3.82,21221000000
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",8.26,1.03,429868000
