CompanyName,CEO,YearEstablished,Description,Industry
"Agilent Technologies, Inc.",Mr. Michael R. McMullen,1994,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",Diagnostics & Research
Alcoa Corporation,Mr. Roy C. Harvey,1977,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting, casting, and rolling businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum sheets to customers that produce beverage and food cans. In addition, it owns hydro power plants that produce and sell electricity to the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",Aluminum
Ares Acquisition Corporation,Mr. David B. Kaplan,1950,"Ares Acquisition Corporation focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.",Shell Companies
ATA Creativity Global,Mr. Jun  Zhang,1996,"ATA Creativity Global, together with its subsidiaries, provides educational services to individual students through its training center network in China. The company's educational services include portfolio training, research-based learning, overseas study counselling, K-12 education assessment, and other educational services. It also offers online courses for students. The company was formerly known as ATA Inc. and changed its name to ATA Creativity Global in September 2019. ATA Creativity Global was founded in 1999 and is based in Beijing, China.",Education & Training Services
Arlington Asset Investment Corp.,"Mr. J. Rock Tonkel Jr., CPA",1963,"Arlington Asset Investment Corp. (NYSE: AAIC) currently invests primarily in mortgage-related and other assets and has elected to be taxed as a REIT. The Company is headquartered in the Washington, D.C. metropolitan area. For more information, please visit www.arlingtonasset.com.",REIT—Mortgage
American Airlines Group Inc.,Mr. William Douglas Parker,1957,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Airlines
Altisource Asset Management Corporation,Mr. Thomas K. McCarthy,1957,"Altisource Asset Management Corporation, an asset management company, provides portfolio management and corporate governance services to institutional investors in the United States. The company offers its services under an asset management agreement to Altisource Residential Corporation, which acquires and manages single-family rental properties for working class families. It also provides management services to NewSource Reinsurance Company Ltd. The company was founded in 2012 and is headquartered in Christiansted, Virgin Islands.",Asset Management
Atlantic American Corporation,Mr. Hilton Hatchett Howell Jr.,1956,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. It operates through American Southern and Bankers Fidelity segments. The company offers property and casualty insurance products, including business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and inland marine and general liability insurance products. It also provides surety bond coverage for subdivision construction, as well as performance and payment bonds. In addition, it provides term, individual and group whole life insurance, as well as medicare supplement and other accident and health insurance products. The company markets its products through independent agents and brokers. Atlantic American Corporation was founded in 1937 and is headquartered in Atlanta, Georgia.",Insurance—Life
"The Aaron's Company, Inc.",Mr. Douglas A. Lindsay,1998,"The Aarons Company Inc. provides lease-to-own and purchase solutions. The company engages in direct-to-consumer sales and lease ownership of furniture, home appliances, electronics, and accessories through its approximately 1,300 Company-operated and franchised stores in the United States and Canada, as well as its e-commerce platform. It also manufactures and supplies bedding and upholstered furniture. As of December 31, 2020, the company had 1,092 Company-operated stores and 248 independently-owned franchised stores. The company was formerly known as Aaron's SpinCo, Inc. The Aarons Company Inc. was founded in 1955 and is headquartered in Atlanta, Georgia.",Specialty Retail
"Applied Optoelectronics, Inc.",Dr. Chih-Hsiang  Lin,1957,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was incorporated in 1997 and is headquartered in Sugar Land, Texas.",Semiconductors
